"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2019","245.50","234.10","248.43","234.10","79.85M","5.44%"
"Jul 02, 2019","246.65","246.25","249.26","243.70","31.53M","0.47%"
"Jul 03, 2019","251.60","246.00","251.60","245.55","44.80M","2.01%"
"Jul 04, 2019","255.35","251.60","256.40","250.61","43.49M","1.49%"
"Jul 05, 2019","250.89","255.32","255.96","250.12","36.24M","-1.75%"
"Jul 08, 2019","248.51","250.09","250.96","245.20","39.35M","-0.95%"
"Jul 09, 2019","250.17","248.69","252.93","247.71","32.46M","0.67%"
"Jul 10, 2019","250.21","250.75","251.48","248.80","33.02M","0.02%"
"Jul 11, 2019","247.20","250.00","250.69","245.00","43.06M","-1.20%"
"Jul 12, 2019","245.50","247.00","247.80","244.00","21.63M","-0.69%"
"Jul 15, 2019","240.30","246.98","248.08","240.10","35.98M","-2.12%"
"Jul 16, 2019","238.01","240.01","240.40","235.83","40.88M","-0.95%"
"Jul 17, 2019","220.19","223.56","224.03","218.63","49.43M","-7.49%"
"Jul 18, 2019","218.30","219.00","219.80","215.77","30.87M","-0.86%"
"Jul 19, 2019","216.00","219.50","220.43","215.37","20.03M","-1.05%"
"Jul 22, 2019","217.12","215.97","220.00","214.10","33.71M","0.52%"
"Jul 23, 2019","217.39","217.50","221.17","216.76","34.74M","0.12%"
"Jul 24, 2019","212.00","218.47","218.47","210.51","44.52M","-2.48%"
"Jul 25, 2019","219.00","208.00","228.94","206.00","168.79M","3.30%"
"Jul 26, 2019","234.23","217.00","236.00","217.00","181.11M","6.95%"
"Jul 29, 2019","236.73","234.12","238.70","231.83","50.48M","1.07%"
"Jul 30, 2019","237.10","236.10","237.13","232.37","44.06M","0.16%"
"Jul 31, 2019","236.90","237.41","239.64","234.44","45.44M","-0.08%"
"Aug 01, 2019","234.28","234.54","237.34","233.29","31.28M","-1.11%"
"Aug 02, 2019","227.91","231.10","233.17","227.91","59.30M","-2.72%"
"Aug 05, 2019","223.61","226.00","228.00","222.30","53.37M","-1.89%"
"Aug 06, 2019","226.76","223.62","227.78","223.62","30.46M","1.41%"
"Aug 07, 2019","227.67","226.90","232.67","225.50","49.73M","0.40%"
"Aug 08, 2019","231.21","230.51","233.54","230.43","29.63M","1.55%"
"Aug 09, 2019","229.96","231.45","232.26","228.91","18.56M","-0.54%"
"Aug 12, 2019","230.24","231.06","232.97","229.29","15.93M","0.12%"
"Aug 13, 2019","229.87","229.88","232.16","226.46","35.15M","-0.16%"
"Aug 14, 2019","227.10","231.10","231.19","224.58","35.84M","-1.21%"
"Aug 15, 2019","227.15","227.69","229.70","224.89","32.30M","0.02%"
"Aug 16, 2019","224.71","228.48","229.38","224.08","25.16M","-1.07%"
"Aug 19, 2019","226.80","225.99","227.20","223.65","19.13M","0.93%"
"Aug 20, 2019","231.54","226.58","232.32","226.15","34.64M","2.09%"
"Aug 21, 2019","231.22","231.80","232.32","230.50","20.50M","-0.14%"
"Aug 22, 2019","232.06","230.90","233.98","230.21","26.49M","0.36%"
"Aug 23, 2019","229.35","232.70","233.04","228.93","29.02M","-1.17%"
"Aug 26, 2019","228.90","228.88","230.60","228.05","11.24M","-0.20%"
"Aug 27, 2019","227.00","228.92","229.28","223.00","55.77M","-0.83%"
"Aug 28, 2019","228.48","226.56","228.64","224.88","32.52M","0.65%"
"Aug 29, 2019","233.20","228.85","235.25","228.67","47.58M","2.07%"
"Aug 30, 2019","232.15","233.69","233.85","231.07","22.03M","-0.45%"
"Sep 02, 2019","233.67","231.75","234.22","230.50","19.26M","0.65%"
"Sep 03, 2019","231.02","233.40","233.60","229.96","20.66M","-1.13%"
"Sep 04, 2019","233.71","232.70","234.78","232.18","27.53M","1.16%"
"Sep 05, 2019","236.18","234.70","238.17","234.64","29.87M","1.06%"
"Sep 06, 2019","234.49","235.66","235.97","232.38","24.97M","-0.72%"
"Sep 09, 2019","234.85","235.00","235.62","233.00","16.64M","0.15%"
"Sep 10, 2019","233.00","234.32","235.10","232.02","24.06M","-0.79%"
"Sep 11, 2019","235.07","233.03","235.38","232.20","27.12M","0.89%"
"Sep 12, 2019","232.88","234.30","235.28","231.51","29.00M","-0.93%"
"Sep 13, 2019","232.50","232.51","233.41","230.80","17.97M","-0.16%"
"Sep 16, 2019","234.88","233.98","234.88","232.57","29.14M","1.02%"
"Sep 17, 2019","233.58","234.53","235.17","232.36","28.34M","-0.55%"
"Sep 18, 2019","233.46","233.00","233.96","232.30","12.28M","-0.05%"
"Sep 19, 2019","230.52","233.11","233.28","230.06","31.66M","-1.26%"
"Sep 20, 2019","230.41","230.75","231.00","228.50","34.65M","-0.05%"
"Sep 23, 2019","230.36","230.50","231.25","228.87","16.89M","-0.02%"
"Sep 24, 2019","227.70","230.36","230.68","227.19","22.37M","-1.15%"
"Sep 25, 2019","228.43","227.04","228.70","225.76","22.05M","0.32%"
"Sep 26, 2019","231.97","228.74","233.70","228.31","40.42M","1.55%"
"Sep 27, 2019","229.01","231.92","232.14","229.01","13.57M","-1.28%"
"Sep 30, 2019","225.90","229.05","229.46","225.90","26.48M","-1.36%"
"Oct 01, 2019","226.49","226.00","227.70","225.17","16.75M","0.26%"
"Oct 02, 2019","223.60","226.16","226.65","223.25","31.88M","-1.28%"
"Oct 03, 2019","223.10","223.50","224.89","220.79","29.98M","-0.22%"
"Oct 04, 2019","221.66","224.30","224.65","221.24","22.03M","-0.65%"
"Oct 07, 2019","226.36","221.90","226.81","220.68","22.39M","2.12%"
"Oct 08, 2019","223.20","226.53","227.70","222.71","22.26M","-1.40%"
"Oct 09, 2019","223.18","223.10","224.71","221.72","14.92M","-0.01%"
"Oct 10, 2019","224.50","223.00","224.93","222.27","14.67M","0.59%"
"Oct 11, 2019","227.37","225.00","227.50","224.82","18.39M","1.28%"
"Oct 14, 2019","226.00","227.37","228.61","225.50","14.70M","-0.60%"
"Oct 15, 2019","226.00","226.00","227.15","224.06","18.16M","0.00%"
"Oct 16, 2019","227.70","226.00","227.90","225.11","17.80M","0.75%"
"Oct 17, 2019","228.00","227.66","228.60","226.00","21.41M","0.13%"
"Oct 18, 2019","228.00","227.88","228.90","227.20","16.56M","0.00%"
"Oct 21, 2019","228.54","228.49","229.11","227.31","14.41M","0.24%"
"Oct 22, 2019","235.36","228.58","235.36","228.28","42.88M","2.98%"
"Oct 23, 2019","236.20","234.86","237.67","233.16","39.60M","0.36%"
"Oct 24, 2019","243.94","236.41","244.00","236.41","47.64M","3.28%"
"Oct 25, 2019","246.71","244.10","247.40","239.50","43.91M","1.14%"
"Oct 28, 2019","244.40","247.30","249.96","242.70","34.94M","-0.94%"
"Oct 29, 2019","253.10","244.03","253.69","241.40","70.83M","3.56%"
"Oct 30, 2019","261.60","252.90","265.26","252.01","97.83M","3.36%"
"Oct 31, 2019","260.00","262.25","267.40","257.00","89.68M","-0.61%"
"Nov 01, 2019","263.79","260.10","264.28","256.35","51.03M","1.46%"
"Nov 05, 2019","263.00","266.00","267.53","261.31","36.85M","-0.30%"
"Nov 06, 2019","266.98","263.14","266.98","258.91","37.70M","1.51%"
"Nov 07, 2019","270.74","266.01","272.68","264.66","56.18M","1.41%"
"Nov 08, 2019","266.00","269.92","270.20","264.45","33.45M","-1.75%"
"Nov 11, 2019","260.40","265.00","265.45","259.80","42.79M","-2.11%"
"Nov 12, 2019","257.25","260.81","264.57","256.13","61.52M","-1.21%"
"Nov 13, 2019","251.80","256.11","257.19","250.79","87.80M","-2.12%"
"Nov 14, 2019","248.34","252.56","253.46","244.80","127.69M","-1.37%"
"Nov 15, 2019","248.01","248.50","250.47","245.00","89.35M","-0.13%"
"Nov 18, 2019","246.15","250.00","250.40","245.62","52.85M","-0.75%"
"Nov 19, 2019","248.01","246.50","248.70","244.32","66.07M","0.76%"
"Nov 20, 2019","248.00","246.64","254.89","245.58","199.41M","-0.00%"
"Nov 21, 2019","254.35","252.00","259.80","250.01","222.76M","2.56%"
"Nov 22, 2019","251.99","253.10","257.72","250.13","92.53M","-0.93%"
"Nov 25, 2019","255.20","252.12","256.17","251.46","47.77M","1.27%"
"Nov 26, 2019","254.00","255.53","257.41","252.01","70.14M","-0.47%"
"Nov 27, 2019","253.89","253.80","255.85","252.25","37.68M","-0.04%"
"Nov 28, 2019","254.00","253.46","254.43","251.35","29.78M","0.04%"
"Nov 29, 2019","257.54","253.89","257.54","251.86","53.29M","1.39%"
"Dec 02, 2019","254.05","258.45","263.40","254.05","70.27M","-1.36%"
"Dec 03, 2019","247.93","253.20","254.14","247.09","75.45M","-2.41%"
"Dec 04, 2019","248.93","248.50","251.96","246.40","59.29M","0.40%"
"Dec 05, 2019","246.36","249.50","250.30","244.77","61.69M","-1.03%"
"Dec 06, 2019","247.83","246.50","248.25","245.39","44.85M","0.60%"
"Dec 09, 2019","248.70","247.90","250.22","247.40","32.40M","0.35%"
"Dec 10, 2019","246.90","248.99","250.15","246.50","34.82M","-0.72%"
"Dec 11, 2019","247.34","246.84","248.69","246.84","31.26M","0.18%"
"Dec 12, 2019","250.48","247.64","254.66","247.35","78.73M","1.27%"
"Dec 13, 2019","249.50","251.11","252.48","248.80","41.80M","-0.39%"
"Dec 16, 2019","250.78","249.60","252.22","249.20","29.62M","0.51%"
"Dec 17, 2019","252.05","251.23","252.86","250.80","31.64M","0.51%"
"Dec 18, 2019","251.29","252.00","252.71","250.85","29.21M","-0.30%"
"Dec 19, 2019","251.40","250.96","252.30","249.40","37.39M","0.04%"
"Dec 20, 2019","255.50","252.75","256.58","252.22","60.31M","1.63%"
"Dec 23, 2019","255.00","251.50","255.20","251.11","38.33M","-0.20%"
"Dec 24, 2019","254.87","255.61","257.71","254.26","22.78M","-0.05%"
"Dec 25, 2019","253.25","255.00","255.49","253.02","12.31M","-0.64%"
"Dec 26, 2019","254.10","253.31","254.24","252.50","10.88M","0.34%"
"Dec 27, 2019","257.11","254.31","257.49","254.00","24.23M","1.18%"
"Dec 30, 2019","256.40","257.10","258.30","254.71","23.50M","-0.28%"
"Jan 03, 2020","259.00","259.18","261.90","257.77","34.48M","1.01%"
"Jan 06, 2020","256.55","259.00","259.00","254.80","28.15M","-0.95%"
"Jan 08, 2020","255.79","256.25","257.32","254.77","25.61M","-0.30%"
"Jan 09, 2020","254.07","255.69","256.68","251.82","33.22M","-0.67%"
"Jan 10, 2020","251.90","254.00","254.60","251.20","28.57M","-0.85%"
"Jan 13, 2020","251.50","252.50","252.50","248.40","41.35M","-0.16%"
"Jan 14, 2020","250.00","252.00","253.20","249.00","32.94M","-0.60%"
"Jan 15, 2020","251.30","249.50","252.50","247.75","43.98M","0.52%"
"Jan 16, 2020","254.26","251.90","254.54","251.50","38.44M","1.18%"
"Jan 17, 2020","255.39","254.75","256.60","253.80","42.16M","0.44%"
"Jan 20, 2020","253.50","255.66","256.10","253.01","29.97M","-0.74%"
"Jan 21, 2020","252.99","253.25","253.40","250.88","27.03M","-0.20%"
"Jan 22, 2020","248.10","252.81","253.39","248.10","38.89M","-1.93%"
"Jan 23, 2020","239.30","246.71","247.66","239.01","73.88M","-3.55%"
"Jan 24, 2020","237.95","240.12","243.25","235.28","69.05M","-0.56%"
"Jan 27, 2020","230.96","235.00","235.40","229.65","105.33M","-2.94%"
"Jan 28, 2020","235.00","232.60","237.59","229.00","85.54M","1.75%"
"Jan 29, 2020","232.00","236.95","237.36","231.30","52.81M","-1.28%"
"Jan 30, 2020","231.53","230.71","232.49","229.45","41.54M","-0.20%"
"Jan 31, 2020","226.70","232.53","233.79","226.57","70.29M","-2.09%"
"Feb 03, 2020","227.64","223.80","229.98","223.80","54.24M","0.41%"
"Feb 04, 2020","230.50","228.49","231.08","226.65","45.44M","1.26%"
"Feb 05, 2020","232.56","230.89","235.73","228.80","62.00M","0.89%"
"Feb 06, 2020","231.38","234.00","236.00","230.15","42.62M","-0.51%"
"Feb 07, 2020","229.11","232.38","233.39","227.14","49.94M","-0.98%"
"Feb 10, 2020","225.20","228.50","229.75","224.41","50.88M","-1.71%"
"Feb 11, 2020","233.90","226.55","236.18","226.01","95.63M","3.86%"
"Feb 12, 2020","238.03","235.30","239.80","234.56","83.20M","1.77%"
"Feb 13, 2020","233.55","236.90","237.98","233.55","42.02M","-1.88%"
"Feb 14, 2020","232.50","233.79","235.40","230.91","34.35M","-0.45%"
"Feb 17, 2020","233.75","233.50","234.56","231.91","20.56M","0.54%"
"Feb 18, 2020","230.50","233.00","233.28","229.80","30.86M","-1.39%"
"Feb 19, 2020","231.90","231.81","233.50","230.71","24.43M","0.61%"
"Feb 20, 2020","234.60","232.51","235.75","232.00","33.58M","1.16%"
"Feb 21, 2020","232.00","233.05","233.77","231.61","29.66M","-1.11%"
"Feb 25, 2020","224.68","228.00","230.06","224.68","52.76M","-3.16%"
"Feb 26, 2020","224.76","223.32","225.47","220.81","63.75M","0.04%"
"Feb 27, 2020","217.50","220.99","223.40","216.80","83.03M","-3.23%"
"Feb 28, 2020","202.65","210.00","211.97","200.57","169.60M","-6.83%"
"Mar 02, 2020","198.78","208.00","211.99","195.51","151.65M","-1.91%"
"Mar 03, 2020","201.48","204.96","205.27","198.00","104.45M","1.36%"
"Mar 04, 2020","200.00","199.95","204.42","198.28","78.74M","-0.73%"
"Mar 05, 2020","198.00","203.00","203.43","197.50","65.97M","-1.00%"
"Mar 06, 2020","188.27","193.50","194.23","185.13","131.69M","-4.91%"
"Mar 10, 2020","171.00","169.45","185.84","161.01","205.23M","-9.17%"
"Mar 11, 2020","172.03","174.00","175.87","167.39","108.63M","0.60%"
"Mar 12, 2020","163.73","163.00","167.80","161.20","151.37M","-4.82%"
"Mar 13, 2020","166.10","164.00","175.69","164.00","143.37M","1.45%"
"Mar 16, 2020","168.07","163.00","169.99","158.17","116.00M","1.19%"
"Mar 17, 2020","167.00","169.00","175.50","164.56","108.15M","-0.64%"
